Identifiant	Longitude	Latitude	Numéro National de Structure	Domaines	Adresse	Code postal	Ville	Site web
Laboratoire de Physique des Lasers	2.338	48.957	199712595H	Physique	99 Av Jean Baptiste Clément, 93430 Villetaneuse	93430	VILLETANEUSE	http://www-lpl.univ-paris13.fr/FR/
Laboratoire de Recherche en Informatique	2.168	48.712	199812948M		Bâtiment 650, Rue Noetzlin, 91192 Gif-sur-Yvette, France	91190	GIF SUR YVETTE	http://www.lri.fr/
Laboratoire de physique theorique et modeles statistiques	2.179	48.699	199812951R		15 Rue Georges Clemenceau, 91405 Orsay	91400	ORSAY	http://www.lptms.u-psud.fr/
Laboratoire Specification et Verification	2.326	48.789	199812967H	Sciences et technologies de l'information et de la communication	61 Avenue du President Wilson, 94235 Cachan	94230	CACHAN	http://www.lsv.ens-cachan.fr/
Laboratoire d'etudes spatiales et d'instrumentation en astrophysique	2.231	48.810	200212766X	Sciences pour l'ingenieur, Sciences et technologies de l'information et de la communication	5 place Jules Janssen, 92195 Meudon	92190	MEUDON	http://www.lesia.obspm.fr
Laboratoire de Medievistique Occidentale de Paris	2.358	48.797	199812917D	Sciences humaines et humanites	7 rue Guy Moquet, 94800 Villejuif	94800	VILLEJUIF	http://lamop.univ-paris1.fr/spip.php?page=backend
Laboratoire de Physique des Solides	2.178	48.709	199812838T		1 rue Nicolas Appert Bâtiment 510, 91405 Orsay	91400	ORSAY	http://www.lps.u-psud.fr/
Laboratoire des Signaux et Systemes	2.170	48.710	199812842X	Sciences pour l'ingenieur, Sciences et technologies de l'information et de la communication	3 rue Joliot Curie, 91192 Gif-sur-yvette	91190	GIF SUR YVETTE	http://www.l2s.centralesupelec.fr/
Photophysique et  Photochimie Supramoleculaires et Macromoleculaires	2.326	48.789	199812859R	Chimie	61 Avenue du President Wilson, 94235 Cachan	94230	CACHAN	http://www.ppsm.ens-cachan.fr
Laboratoire de meteorologie dynamique	2.232	48.718	199812867Z	Sciences pour l'ingenieur	Route de Saclay, 91128 Palaiseau	91120	PALAISEAU	http://www.lmd.jussieu.fr/
Institut d'Alembert	2.326	48.789	201019178G	Physique, Chimie, Biologie, medecine et sante, Sciences pour l'ingenieur, Sciences et technologies de l'information et de la communication	61 Avenue du President Wilson, 94235 Cachan	94230	CACHAN	http://www.ida.ens-cachan.fr
Mathematiques et Informatique pour la Complexite et les Systemes	2.170	48.710	200615286U	Mathematiques et leurs interactions, Sciences pour l'ingenieur, Sciences et technologies de l'information et de la communication	3 rue Joliot Curie, 91190 Gif-sur-yvette	91190	GIF SUR YVETTE	http://mics.centralesupelec.fr/fr/
